2025-05-04 11:37:30,348 - INFO - 初始化窗口大小: 1200x900
2025-05-04 11:37:31,269 - INFO - 界面初始化完成
2025-05-04 11:38:11,673 - DEBUG - Loaded backend module://backend_interagg version unknown.
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='W:\\PY\\ZNTppt\\myenv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-04 11:38:25,827 - DEBUG - findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\msjhl.ttc', name='Microsoft JhengHei', style='normal', variant='normal', weight=290, stretch='normal', size='scalable')) = 10.1545
